//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 3-5-2024
//--  Time: 16:35
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Coolant Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:000//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490 Ohms
//--    Temperature1: 110(F), 	Resistance 1: 1176 Ohms 
//--    Temperature2: 150(F), 	Resistance 2: 557 Ohms 
//--    Temperature3: 200(F), 	Resistance 3: 197 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
0	320.65	3206 	0.000
1	234.88	2349 	0.156
2	205.98	2060 	0.313
3	186.24	1862 	0.469
4	170.74	1707 	0.625
5	157.74	1577 	0.781
6	146.35	1464 	0.938
7	136.11	1361 	1.094
8	126.69	1267 	1.250
9	117.88	1179 	1.406
10	109.55	1095 	1.563
11	101.56	1016 	1.719
12	93.84	938 	1.875
13	86.30	863 	2.031
14	78.88	789 	2.188
15	71.52	715 	2.344
16	64.18	642 	2.500
17	56.78	568 	2.656
18	49.28	493 	2.813
19	41.61	416 	2.969
20	33.71	337 	3.125
21	25.48	255 	3.281
22	16.83	168 	3.438
23	7.63	76 	3.594
24	-2.31	-23 	3.750
25	-13.24	-132 	3.906
26	-25.55	-255 	4.063
27	-39.84	-398 	4.219
28	180.00	1800 	4.375
29	180.00	1800 	4.531
30	180.00	1800 	4.688
31	180.00	1800 	4.844
